timestamp_p,height,x_speed,y_speed,z_speed,pitch,roll,yaw,temperature,distance,barometer,flight_time,battery,mp_distance_x,mp_distance_y,mp_distance_z,class,class_raw
22615.81999,70,0,0,0,0,0,0,62,84,13966,9,84,-15,-16,87,dos,DoS
22616.34984,60,0,0,0,0,-1,0,61,83,13959,9,84,-16,-19,86,dos,DoS
22616.88042,60,0,0,0,0,-1,0,61,83,13956,10,84,-17,-21,85,dos,DoS
22617.41126,60,0,0,0,-1,0,0,62,83,13969,10,84,-16,-20,85,dos,DoS
22617.94091,60,0,0,0,-1,0,0,62,82,13962,11,84,-14,-21,85,dos,DoS
22618.46103,60,0,-1,0,-2,-3,0,62,83,13966,11,84,-19,-22,84,dos,DoS
22618.98076,60,0,-1,0,0,-1,0,62,81,13959,12,84,-11,-17,84,dos,DoS
22619.49795,60,0,-1,0,0,-1,0,62,81,13955,12,84,-10,-11,84,dos,DoS
22620.02408,60,0,-1,0,-1,-1,0,62,81,13956,13,84,-6,-8,84,dos,DoS
22620.5412,60,0,-1,0,0,0,0,62,81,13952,13,84,-4,-6,84,dos,DoS
22621.07111,60,0,0,0,-2,0,0,62,80,13952,14,84,-5,-5,83,dos,DoS
22621.60074,60,0,-1,0,0,0,0,62,80,13953,14,84,-4,-4,83,dos,DoS
22622.11405,60,0,0,0,0,0,0,62,82,13963,15,84,-4,-6,84,dos,DoS
22622.62569,60,0,0,0,0,-1,0,62,83,13962,15,84,-7,-9,86,dos,DoS
22623.13533,60,0,0,0,0,-1,0,62,83,13968,16,84,-8,-12,87,dos,DoS
22623.68388,60,0,0,0,0,-1,0,62,83,13960,16,84,-9,-17,86,dos,DoS
22624.21081,60,3,0,0,-8,0,0,62,83,13956,17,84,-9,-22,85,dos,DoS
22624.7125,60,2,0,0,0,0,0,63,83,13959,17,84,17,-25,88,dos,DoS
22625.22954,60,2,0,0,-1,-1,0,63,82,13965,18,84,17,-25,88,dos,DoS
22625.74781,60,2,0,0,-1,-1,0,63,82,13955,18,84,29,-20,95,dos,DoS
22626.27875,60,2,-1,0,-1,-1,0,63,81,13961,19,84,36,18,82,dos,DoS
22626.79757,60,1,-1,0,1,-2,0,63,80,13955,20,84,26,18,80,dos,DoS
22627.31477,60,0,0,0,0,0,0,63,80,13957,20,84,20,12,81,dos,DoS
22627.83287,60,1,0,0,-4,-2,0,63,80,13952,21,84,22,15,80,dos,DoS
22628.35054,60,1,0,0,0,0,0,63,80,13963,21,84,8,9,82,dos,DoS
22628.88194,60,1,0,0,0,0,0,63,79,13956,22,84,0,8,82,dos,DoS
22629.41311,60,0,0,0,0,-1,0,63,80,13968,22,84,0,5,82,dos,DoS
22629.94175,60,0,0,0,0,0,0,63,79,13963,23,84,0,5,82,dos,DoS
22630.45736,60,0,0,0,0,0,0,63,80,13966,23,84,0,6,82,dos,DoS
22630.97648,60,0,0,0,-8,0,0,63,80,13965,24,84,0,9,82,dos,DoS
22631.50362,60,3,0,0,1,0,0,64,79,13958,24,84,-14,15,81,dos,DoS
22632.01587,60,2,0,0,-1,0,0,64,80,13966,25,84,-38,21,78,dos,DoS
22632.54146,60,2,0,0,-1,-1,0,63,79,13962,25,84,-36,-2,82,dos,DoS
