timestamp_p,mid,x,y,z,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,class,class_raw
1683982117,-1,-100,-100,-100,0,0,-173,0,0,0,61,64,159,130,57,286.32,78,13,-6,-1001,evil_twin,evil_twin
1683982117,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.34,78,4,-7,-993,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.34,78,4,-7,-993,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.34,78,15,-8,-1004,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,158,130,57,286.34,78,24,-12,-1003,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,160,130,57,286.31,78,17,-5,-1011,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,158,130,57,286.31,79,4,-8,-1013,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.25,79,8,-10,-999,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.3,79,4,-10,-992,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.35,79,10,-10,-997,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.36,79,3,-14,-1004,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.23,79,7,-11,-988,evil_twin,evil_twin
1683982118,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,158,130,57,286.3,79,12,-7,-1005,evil_twin,evil_twin
1683982119,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,158,130,57,286.3,79,12,-7,-1005,evil_twin,evil_twin
1683982119,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,160,130,57,286.27,79,12,3,-998,evil_twin,evil_twin
1683982119,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.26,79,9,0,-1000,evil_twin,evil_twin
1683982119,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.31,79,23,0,-1003,evil_twin,evil_twin
1683982119,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,158,130,57,286.27,80,23,-10,-992,evil_twin,evil_twin
1683982119,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,158,130,57,286.27,80,0,-10,-996,evil_twin,evil_twin
1683982119,-1,-100,-100,-100,0,0,-173,0,0,0,61,65,159,130,57,286.3,80,0,-9,-1008,evil_twin,evil_twin
